"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.921188785E1,4.164040565E0,1.602543950E0,1.225778866E1
3.931188785E1,-2.161889315E0,2.711358547E0,3.263820648E0
3.941188785E1,-1.850418687E0,-2.422857285E0,1.634334373E1
3.951188785E1,1.954267174E-1,1.861865878E0,1.945812583E0
3.961188785E1,-2.988337755E0,1.812485456E0,1.234637451E1
3.971188785E1,-1.118391514E0,-4.015300751E0,1.972343445E1
3.981188785E1,2.092457533E0,-2.897208452E0,1.097300053E1
3.991188785E1,-2.239326835E-1,3.657966137E0,3.072434187E0
4.001188785E1,-3.220126390E0,-2.477100849E0,1.390066051E1
4.011188785E1,-3.698891878E0,2.827552319E0,1.295165825E1
4.021188785E1,1.496376097E-1,-7.483376503E0,1.355582047E1
4.031188785E1,-1.051877499E0,8.837522507E0,-5.343184948E0
4.041188785E1,-2.759541988E0,8.297405392E-2,1.115757847E1
4.051188785E1,1.939303428E-1,3.543418646E-1,5.890110493E0
4.061188785E1,3.200523853E0,3.215263128E0,6.318223476E0
