"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.909639824E2,5.232890999E1,4.868578935E0,3.011551142E0,2.763222933E0,1.833809967E2,5.225328445E0,3.000000000E0
1.919712402E2,5.232888648E1,4.868576491E0,2.725684625E0,2.632970572E0,1.806472931E2,5.224977016E0,3.000000000E0
1.929679417E2,5.232886555E1,4.868576712E0,2.560655527E0,2.692473650E0,1.861606750E2,4.831230640E0,3.000000000E0
1.939693960E2,5.232883680E1,4.868573077E0,2.547210117E0,2.750927448E0,1.832465515E2,4.057197094E0,3.000000000E0
1.949688793E2,5.232880725E1,4.868570736E0,2.367249855E0,2.751089573E0,1.802478180E2,5.223925591E0,3.000000000E0
1.959650576E2,5.232878057E1,4.868568791E0,2.274932227E0,2.812942266E0,1.802246552E2,4.830502987E0,3.000000000E0
1.969641146E2,5.232875385E1,4.868566989E0,2.219007261E0,2.872726679E0,1.766848755E2,4.830260754E0,3.000000000E0
1.979708510E2,5.232872727E1,4.868568761E0,2.038828622E0,2.943473101E0,1.781259003E2,4.826303482E0,3.000000000E0
1.989689799E2,5.232870239E1,4.868574275E0,1.962776019E0,3.029140949E0,1.802868042E2,4.826025486E0,3.000000000E0
1.999642243E2,5.232867185E1,4.868581495E0,1.870345509E0,2.951877356E0,1.776452637E2,3.925826073E0,3.000000000E0
2.009777866E2,5.232864588E1,4.868586387E0,1.938413942E0,2.907326698E0,1.764026794E2,4.239895821E0,3.000000000E0
2.019727997E2,5.232862009E1,4.868587132E0,1.886853051E0,2.905775070E0,1.779810638E2,4.239925385E0,3.000000000E0
2.029704870E2,5.232859372E1,4.868587753E0,1.679773174E0,2.779935122E0,1.799067841E2,4.239954472E0,3.000000000E0
2.039713683E2,5.232856955E1,4.868585339E0,1.623504259E0,2.653505325E0,1.831821899E2,3.925740242E0,3.000000000E0
2.049697581E2,5.232854831E1,4.868586512E0,1.652647125E0,2.435922861E0,1.822598267E2,3.925719023E0,3.000000000E0
2.059699525E2,5.232852682E1,4.868589088E0,1.667212680E0,2.329062462E0,1.794989929E2,3.925697327E0,3.000000000E0
2.069698181E2,5.232850496E1,4.868588416E0,1.558547375E0,2.354543924E0,1.762362671E2,4.031490803E0,3.000000000E0
2.079693398E2,5.232848387E1,4.868589299E0,1.420654791E0,2.356703281E0,1.801487885E2,4.031550407E0,3.000000000E0
2.089715920E2,5.232846360E1,4.868589504E0,1.347868248E0,2.379777193E0,1.759700317E2,4.031610489E0,3.000000000E0
2.099756224E2,5.232844034E1,4.868591605E0,1.273249736E0,2.115310907E0,1.866098785E2,4.031670570E0,3.000000000E0
2.109638859E2,5.232841802E1,4.868588394E0,1.193207060E0,2.347955227E0,1.804792328E2,4.031730175E0,3.000000000E0
2.119669571E2,5.232839507E1,4.868583893E0,1.048035878E0,2.393772840E0,1.812726898E2,4.606494904E0,3.000000000E0
2.129766155E2,5.232836964E1,4.868582827E0,7.677352585E-1,2.577265263E0,1.846469269E2,4.606722832E0,3.000000000E0
2.139694503E2,5.232834728E1,4.868572057E0,5.884937723E-1,2.412291050E0,1.924564056E2,5.137465000E0,3.000000000E0
