,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelbrake,labelstop,labelturnright,labelturnleft,labelaccelerate
46.0,-1.5677173999999998,0.94355,7.678507799999999,-0.0640168,0.0144466,-0.0952004,-0.04387500000000001,0.2554420000000001,-0.14402800000000002,52.350507,4.9245199999999985,1.671572,3.38,315.299988,4.334064,3.784335,1,0,0,0,0,0
46.5,-0.3224925999999999,0.9126823999999998,7.6597241999999985,-0.0025044000000000177,-0.043583799999999985,0.004581399999999994,0.4176101999999999,-0.17457000000000006,0.08193960000000003,,,,,,,,1,0,0,0,0,0
47.0,0.11736779999999987,-0.33499540000000005,10.9365754,0.0503034,0.023212199999999995,0.08738180000000002,-1.78605,-1.5338379999999998,-0.4638310000000001,52.350532,4.92448,1.045547,3.57,319.200012,4.294533,3.901777,1,0,0,0,0,0
47.5,-0.05916260000000007,-1.1682356000000003,11.145708,0.019028,-0.0024433999999999984,-0.029106999999999994,-1.78605,-1.5338379999999998,-0.4638310000000001,,,,,,,,1,0,0,0,0,0
48.0,-0.3853041999999999,1.1715857999999997,8.453902199999998,-0.07146899999999999,-0.009658999999999994,-0.015653,-0.5550602000000001,-1.265177,-0.11255700000000006,52.350558,4.924442,0.397857,3.51,321.700012,4.4517190000000015,,1,0,0,0,0,0
48.5,0.7876576,1.8994824000000008,6.6184878,0.0458136,0.0120946,-0.050242199999999994,0.1193104,0.10107299999999997,-0.2025992,,,,,,,,1,0,0,0,0,0
49.0,-0.6333204000000001,1.2369698000000002,7.155078200000001,-0.0018326000000000009,-0.05317420000000002,0.20243480000000005,-1.0369704,-0.8118401999999999,0.5559185999999998,52.350582,4.9244059999999985,0.483747,3.26,320.299988,4.605299,,1,0,0,0,0,0
49.5,-0.5655435999999998,-0.394098,11.661959399999999,-0.055098400000000006,0.0998736,-0.1245518,-1.180754,-1.277034,1.254633,,,,,,,,1,0,0,0,0,0
50.0,-2.5264616,1.5040686,7.3354371999999985,0.09086375,-0.09533025,-0.011262500000000022,-1.1225558000000002,-1.1299266000000001,0.8816733999999998,52.350606,4.924367,-0.114081,3.57,315.799988,4.3588879999999985,,1,0,0,0,0,0
50.5,-0.6465409999999998,0.5130212000000001,7.850552,-0.034757199999999995,0.0029319999999999984,0.07941019999999999,-0.021628,-0.059670600000000025,0.2844742,,,,,,,,1,0,0,0,0,0
51.0,-0.3412164000000001,0.3600004000000003,8.4638326,0.01890580000000001,-0.0015270000000000047,-0.06630739999999999,-0.539389,0.7435596,-1.0144794,52.350629,4.924328,-0.764768,3.02,314.100006,4.470244,,1,0,0,0,0,0
51.5,1.3224532,0.5758325999999998,8.956335200000002,-0.016340200000000003,-0.009743,0.05079199999999999,-0.863325,1.224104,-1.316497,,,,,,,,1,0,0,0,0,0
52.0,1.1533406000000002,-0.8194221999999997,11.6366554,0.034436500000000016,0.04100325,-0.009086499999999996,-0.863325,1.224104,-1.316497,52.350653,4.924288,-1.433029,3.68,315.799988,4.927724,,1,0,0,0,0,0
52.5,-0.17174479999999998,-0.09002999999999993,10.0540426,-0.000488799999999999,-0.023945400000000002,0.029137600000000007,-0.3989860000000001,0.11669020000000005,-0.25093020000000005,,,,,,,,1,0,0,0,0,0
53.0,0.8718845999999999,-1.5394224,13.572628400000001,0.013469199999999995,0.05790860000000001,-0.0497538,-0.03285019999999998,0.017988599999999976,0.0022732000000000195,52.350679,4.924247,-0.430636,3.54,316.600006,4.88658,,1,0,0,0,0,0
53.5,-1.0769496000000005,0.8230114000000001,7.090412400000001,-0.10714260000000002,-0.0002138000000000029,-0.07195779999999999,-0.16606,2.812612,-1.6597630000000003,,,,,,,,1,0,0,0,0,0
54.0,0.3611366,-0.3646662000000004,8.582696,0.1115714,-0.0481652,-0.0421484,-0.16606,2.812612,-1.6597630000000003,52.350705,4.924208,0.197856,3.47,317.700012,5.504563,,1,0,0,0,0,0
54.5,1.1176278,-3.0686156,14.701023799999998,-0.045279249999999986,-0.06959850000000001,0.231778,-0.5402698,1.3077924000000003,-0.7456646000000001,,,,,,,,1,0,0,0,0,0
